iter	Passed	Remaining
0	1	185
1	3	168
2	4	150
3	5	139
4	7	136
5	8	131
6	10	133
7	11	130
8	13	132
9	14	129
10	15	126
11	17	125
12	18	124
13	19	121
14	21	119
15	22	116
16	23	113
17	24	111
18	25	109
19	27	108
20	28	106
21	29	103
22	30	101
23	32	101
24	33	100
25	34	99
26	36	98
27	37	96
28	38	95
29	40	94
30	41	92
31	43	91
32	44	90
33	45	89
34	47	88
35	49	87
36	50	85
37	52	85
38	53	83
39	55	82
40	56	81
41	57	79
42	59	78
43	60	76
44	61	75
45	62	73
46	63	71
47	64	70
48	65	68
49	67	67
50	68	65
51	70	64
52	72	63
53	73	62
54	75	61
55	76	60
56	77	58
57	79	57
58	80	56
59	82	55
60	84	53
61	85	52
62	87	51
63	88	49
64	89	48
65	90	46
66	92	45
67	93	44
68	94	42
69	95	41
70	97	39
71	98	38
72	99	36
73	101	35
74	102	34
75	103	32
76	104	31
77	106	30
78	107	28
79	108	27
80	110	25
81	111	24
82	113	23
83	114	21
84	116	20
85	117	19
86	118	17
87	119	16
88	120	14
89	120	13
90	121	12
91	122	10
92	123	9
93	124	7
94	125	6
95	126	5
96	127	3
97	128	2
98	129	1
99	130	0
